"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","0.28342","0.28837","0.29202","0.27889","1.96B","-1.72%"
"Oct 15, 2019","0.28839","0.29725","0.29878","0.28328","2.12B","-2.98%"
"Oct 14, 2019","0.29725","0.27738","0.29774","0.27650","2.08B","7.17%"
"Oct 13, 2019","0.27737","0.27236","0.28121","0.27164","1.44B","1.84%"
"Oct 12, 2019","0.27236","0.26739","0.27698","0.26728","1.35B","1.85%"
"Oct 11, 2019","0.26741","0.27029","0.27442","0.26481","1.39B","-1.08%"
"Oct 10, 2019","0.27033","0.28096","0.28170","0.26555","1.61B","-3.78%"
"Oct 09, 2019","0.28095","0.27751","0.28633","0.27377","1.89B","1.23%"
"Oct 08, 2019","0.27753","0.27581","0.28479","0.27088","1.88B","0.63%"
"Oct 07, 2019","0.27580","0.25535","0.28080","0.25354","2.40B","8.02%"
"Oct 06, 2019","0.25532","0.25324","0.25621","0.25096","1.17B","0.85%"
"Oct 05, 2019","0.25318","0.25245","0.25625","0.24707","1.06B","0.29%"
"Oct 04, 2019","0.25244","0.24681","0.25627","0.24493","1.11B","2.27%"
"Oct 03, 2019","0.24683","0.25275","0.25292","0.24225","1.13B","-2.36%"
"Oct 02, 2019","0.25279","0.24806","0.25453","0.24455","1.26B","1.91%"
"Oct 01, 2019","0.24805","0.25643","0.26061","0.24512","1.49B","-3.27%"
"Sep 30, 2019","0.25643","0.24021","0.26132","0.23594","1.80B","6.76%"
"Sep 29, 2019","0.24020","0.24185","0.24225","0.23478","932.38M","-0.69%"
"Sep 28, 2019","0.24186","0.24222","0.24429","0.23830","989.12M","-0.13%"
"Sep 27, 2019","0.24218","0.24219","0.24676","0.23374","1.37B","0.01%"
"Sep 26, 2019","0.24217","0.24565","0.24953","0.23017","1.71B","-1.44%"
"Sep 25, 2019","0.24571","0.23334","0.24880","0.23213","2.07B","5.29%"
"Sep 24, 2019","0.23336","0.26755","0.27239","0.22523","3.09B","-12.76%"
"Sep 23, 2019","0.26751","0.27640","0.28622","0.26653","1.72B","-3.21%"
"Sep 22, 2019","0.27639","0.28968","0.28983","0.26969","1.39B","-4.59%"
"Sep 21, 2019","0.28968","0.29373","0.29728","0.28657","1.44B","-1.38%"
"Sep 20, 2019","0.29373","0.30063","0.30151","0.28417","1.56B","-2.30%"
"Sep 19, 2019","0.30065","0.31348","0.31348","0.28404","2.64B","-4.09%"
"Sep 18, 2019","0.31348","0.28536","0.32571","0.28523","2.64B","9.90%"
"Sep 17, 2019","0.28525","0.26103","0.29755","0.25958","2.08B","9.28%"
"Sep 16, 2019","0.26103","0.26027","0.26299","0.25715","773.77M","0.29%"
"Sep 15, 2019","0.26027","0.26131","0.26409","0.25892","800.65M","-0.39%"
"Sep 14, 2019","0.26128","0.25526","0.26507","0.25394","994.26M","2.36%"
"Sep 13, 2019","0.25527","0.25404","0.25593","0.25189","796.18M","0.48%"
"Sep 12, 2019","0.25406","0.25517","0.25639","0.25098","824.05M","-0.44%"
"Sep 11, 2019","0.25517","0.25866","0.26040","0.25132","932.28M","-1.35%"
"Sep 10, 2019","0.25867","0.25865","0.26325","0.25418","931.34M","0.01%"
"Sep 09, 2019","0.25865","0.26230","0.26396","0.25664","1.08B","-1.39%"
"Sep 08, 2019","0.26230","0.25999","0.26573","0.25646","1.04B","0.89%"
"Sep 07, 2019","0.25999","0.25130","0.26281","0.25030","879.47M","3.42%"
"Sep 06, 2019","0.25139","0.25618","0.25859","0.24801","1.04B","-1.87%"
"Sep 05, 2019","0.25618","0.25846","0.25923","0.25400","936.09M","-0.88%"
"Sep 04, 2019","0.25845","0.26253","0.26266","0.25668","950.19M","-1.56%"
"Sep 03, 2019","0.26253","0.26087","0.26605","0.25803","1.00B","0.64%"
"Sep 02, 2019","0.26087","0.25590","0.26392","0.25302","936.45M","1.94%"
"Sep 01, 2019","0.25590","0.25759","0.25878","0.25101","781.30M","-0.66%"
"Aug 31, 2019","0.25759","0.25552","0.25992","0.25335","828.47M","0.81%"
"Aug 30, 2019","0.25551","0.25685","0.25722","0.25250","893.37M","-0.52%"
"Aug 29, 2019","0.25685","0.25634","0.26203","0.24775","1.13B","0.19%"
"Aug 28, 2019","0.25636","0.26958","0.27072","0.24773","1.16B","-4.88%"
"Aug 27, 2019","0.26952","0.27038","0.27052","0.26550","703.19M","-0.32%"
"Aug 26, 2019","0.27038","0.26952","0.27942","0.26725","1.09B","0.31%"
"Aug 25, 2019","0.26953","0.27138","0.27584","0.26634","848.02M","-0.68%"
"Aug 24, 2019","0.27137","0.27669","0.27726","0.26480","878.39M","-1.92%"
"Aug 23, 2019","0.27669","0.27053","0.27669","0.26774","901.74M","2.28%"
"Aug 22, 2019","0.27053","0.26587","0.27402","0.26057","1.20B","1.73%"
"Aug 21, 2019","0.26592","0.27421","0.27454","0.25917","1.97B","-3.03%"
"Aug 20, 2019","0.27423","0.28184","0.28219","0.27020","2.37B","-2.70%"
"Aug 19, 2019","0.28184","0.28292","0.29019","0.27623","2.69B","-0.37%"
"Aug 18, 2019","0.28290","0.26542","0.29107","0.26360","2.35B","6.58%"
