"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"420","RT @ShibInform: $SHIB will easily hit $0.02 in Year 2022

RT = HODL <U+0001F4AA><U+0001F3FD>",FALSE,0,NA,2021-12-10 05:32:57,FALSE,NA,"1469178300157218816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kamassud3",1578,TRUE,FALSE,NA,NA
"421","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:32:57,FALSE,NA,"1469178300157206531",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imWinu",5178,TRUE,FALSE,NA,NA
"422","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:32:56,FALSE,NA,"1469178297624018948",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bschrad07",5178,TRUE,FALSE,NA,NA
"423","RT @ShibInform: HOW MANY OF YOU ARE STILL HOLDING YOUR $SHIB",FALSE,0,NA,2021-12-10 05:32:56,FALSE,NA,"1469178297103765507",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hobnub",572,TRUE,FALSE,NA,NA
"424","RT @Tronminingg: 6000$  $shib RANDOM WINNER <U+0001F389>

follow me + retweet this post

#Ethereum #btc  #giveaway #SHIB #doge #SHIBARMY",FALSE,0,NA,2021-12-10 05:32:56,FALSE,NA,"1469178295652687873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YugayDmitry",1969,TRUE,FALSE,NA,NA
"425","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:32:55,FALSE,NA,"1469178292355928071",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jhavy4G",5178,TRUE,FALSE,NA,NA
"426","RT @Shibzone: If I sent u 50,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:32:55,FALSE,NA,"1469178292217409538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Soeky3",95,TRUE,FALSE,NA,NA
"427","RT @WhaleRumors: When $SHIB listing? <U+0001F914> 

@RobinhoodApp",FALSE,0,NA,2021-12-10 05:32:54,FALSE,NA,"1469178288442466308",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ganeshj8557",75,TRUE,FALSE,NA,NA
"428","RT @ShibInform: If you hold 15m+ $SHIB, Retweet!<U+0001F503><U+0001F4AF><U+0001F680>",FALSE,0,NA,2021-12-10 05:32:53,FALSE,NA,"1469178285275824132",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dhruvku33920969",235,TRUE,FALSE,NA,NA
"429","RT @NewsRoom21: Another reason to <U+2764><U+FE0F> #saitama

#Wolfcaster Presented by <U+0001D64E><U+0001D656><U+0001D65E><U+0001D669><U+0001D656><U+0001D662><U+0001D656> <U+0001D64E><U+0001D669><U+0001D66A><U+0001D659><U+0001D65E><U+0001D664>'<U+0001D668> a subsidiary of <U+0001D64E><U+0001D656><U+0001D65E><U+0001D669><U+0001D656><U+0001D662><U+0001D656> <U+0001D647><U+0001D647><U+0001D63E> <U+0001F525>

Coming soon <U+0001F525>
#Cryp…",FALSE,0,NA,2021-12-10 05:32:53,FALSE,NA,"1469178283560370178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bitmoneymagnet",8,TRUE,FALSE,NA,NA
